"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"londres";0,798662246338394;0,627435104924167;-0,0268329871311406;0,786084810523293;0,617554176162973;-0,0264104177973369;0,681678369010266;0,317852405574571;0,000469225415164348;8,11976132379543e-05;5,01134821009717e-05;9,16547543234127e-08;0,00012729664361183;0,583006842954857;4,32677445918686e-05
"lire";2,94502756157326;-1,23420761469535;-1,31053015152826;0,853221061172595;-0,357569465378827;-0,379681311365481;0,797802306398371;0,105858972920319;0,0963387206813106;0,00110406763759827;0,000193906959244534;0,000218630620536938;0,00012729664361183;1,98720180670701;0,000502690756640165
"libération";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"justifier";0,434793676988704;-1,01714758173321;0,551117593471638;0,351812894714733;-0,823024008904686;0,445936282308245;0,163549175050183;0,67621458363423;0,160236241315587;2,4064862929014e-05;0,000131699733062213;3,86638861756656e-05;0,00012729664361183;0,647976557584265;5,34485024626071e-05
"justement";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"irréversible";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"irréductible";-0,1086030409978;1,32562332743774;1,49787120244993;-0,0542155893514434;0,66176277657376;0,747750424548634;0,00435613959733513;0,490334853973115;0,50530900642955;1,50141560410361e-06;0,00022369549025083;0,000285605058657716;0,00012729664361183;0,991725191679111;0,000125198649273684
"inévitablement";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"introduire";0,798662246338394;0,627435104924167;-0,0268329871311406;0,786084810523293;0,617554176162973;-0,0264104177973369;0,681678369010266;0,317852405574571;0,000469225415164348;8,11976132379543e-05;5,01134821009717e-05;9,16547543234127e-08;0,00012729664361183;0,583006842954857;4,32677445918686e-05
"introduction";2,03776227423707;-0,536019392181773;0,214174038052815;0,962144331957159;-0,253085468568654;0,101123835380672;0,944277629627556;0,0493614992621539;0,00636087111029107;0,000528596141168221;3,6574462866922e-05;5,83916305543962e-06;0,00012729664361183;1,26387441006765;0,000203340924736772
